PPA Execution Date,Capacity (MW),Term (years),Region,Macro Region,Real 2024$/MWh
5/27/05,50.6,25,MISO,Central,36
6/15/05,75,15,CAISO,West,76
6/16/05,49.5,25,MISO,Central,35
10/11/05,25,15,CAISO,West,84
10/12/05,205.5,25,MISO,Central,56
11/8/05,161,20,SPP,Central,46
11/18/05,98.9,20,MISO,Central,52
12/22/05,90,20,West (non-ISO),West,76
12/29/05,150,15,MISO,Central,51
12/30/05,56.7,20,Southeast (non-ISO),East,54
1/16/06,201,20,West (non-ISO),West,58
2/1/06,199.5,20,West (non-ISO),West,80
2/21/06,25.2,20,SPP,Central,53
3/1/06,240.8,20,ERCOT,Central,62
3/15/06,50.4,20,Southeast (non-ISO),East,55
3/21/06,80,23,PJM,East,80
4/1/06,124.2,15,ERCOT,Central,54
4/20/06,10.5,20,West (non-ISO),West,80
5/24/06,50,15,CAISO,West,81
6/30/06,300.5,20,West (non-ISO),West,60
7/14/06,60.9,20,West (non-ISO),West,68
7/31/06,199.5,25,West (non-ISO),West,58
7/31/06,50,20,MISO,Central,44
8/16/06,45,20,CAISO,West,85
8/24/06,94.5,25,SPP,Central,35
8/31/06,50,20,MISO,Central,59
9/1/06,100.5,20,MISO,Central,69
9/12/06,26,20,PJM,East,81
9/27/06,50.4,20,Southeast (non-ISO),East,56
10/1/06,14.7,20,MISO,Central,42
10/1/06,21,20,MISO,Central,39
10/26/06,79.8,25,West (non-ISO),West,76
10/27/06,100.65,20,MISO,Central,56
11/10/06,6,20,CAISO,West,82
11/22/06,29.4,20,West (non-ISO),West,58
12/1/06,5,20,Southeast (non-ISO),East,66
12/11/06,29.4,10,PJM,East,86
12/15/06,100.65,20,West (non-ISO),West,76
12/20/06,21,20,West (non-ISO),West,80
12/20/06,21,20,West (non-ISO),West,80
12/28/06,48,25,MISO,Central,49
1/1/07,59.8,20,ERCOT,Central,51
2/16/07,52.8,20,MISO,Central,78
2/20/07,57.5,20,MISO,Central,92
2/22/07,51,20,SPP,Central,59
2/23/07,50.4,20,SPP,Central,52
2/28/07,25.2,20,SPP,Central,54
4/23/07,30,20,MISO,Central,74
6/6/07,20.46,10,MISO,Central,67
6/19/07,105,20,SPP,Central,47
6/26/07,99,15,West (non-ISO),West,77
7/2/07,30,20,MISO,Central,74
8/3/07,100.43,20,PJM,East,80
8/17/07,150,20,CAISO,West,105
8/29/07,99,10,PJM,East,80
9/17/07,75,20,PJM,East,73
9/25/07,96,20,SPP,Central,55
9/25/07,50,20,SPP,Central,49
10/5/07,50,20,West (non-ISO),West,82
10/15/07,98.7,18,West (non-ISO),West,84
11/1/07,24,20,SPP,Central,53
11/1/07,24,20,SPP,Central,53
11/2/07,50,20,MISO,Central,66
12/3/07,99,18,MISO,Central,61
12/22/07,165.6,15,ERCOT,Central,69
12/31/07,99,25,MISO,Central,47
12/31/07,19.5,25,MISO,Central,47
1/2/08,24,15,ISO-NE,East,67
1/16/08,200.87,20,PJM,East,88
2/27/08,81,20,SPP,Central,67
2/28/08,100,30,West (non-ISO),West,70
3/25/08,106,20,MISO,Central,94
4/3/08,100.5,20,MISO,Central,82
4/30/08,54,20,MISO,Central,70
5/28/08,102.9,15,West (non-ISO),West,98
5/30/08,40,20,PJM,East,101
5/30/08,10,20,PJM,East,111
5/30/08,38,20,PJM,East,100
6/12/08,4.5,15,ISO-NE,East,162
6/12/08,99,25,MISO,Central,53
6/15/08,50.25,15,PJM,East,115
6/30/08,50.25,15,PJM,East,115
7/23/08,63,20,West (non-ISO),West,110
7/23/08,30,20,MISO,Central,74
7/28/08,72,15,West (non-ISO),West,122
8/11/08,76.5,10,West (non-ISO),West,99
8/14/08,15,20,SPP,Central,55
8/14/08,265,20,West (non-ISO),West,115
8/14/08,290,20,West (non-ISO),West,115
8/14/08,290,20,West (non-ISO),West,115
8/15/08,50,20,SPP,Central,54
8/20/08,62.5,21,PJM,East,109
9/5/08,99,20,West (non-ISO),West,77
9/22/08,49.5,10,MISO,Central,76
9/24/08,40.5,25,MISO,Central,52
10/7/08,50,10,MISO,Central,82
10/8/08,50,10,MISO,Central,83
10/17/08,99,20,PJM,East,80
11/20/08,101.2,15,CAISO,West,127
11/21/08,150,10.5,MISO,Central,72
12/2/08,100,10,MISO,Central,69
12/9/08,25,20,SPP,Central,77
12/12/08,49.5,25,MISO,Central,63
12/16/08,150.1,20,Southeast (non-ISO),East,84
12/22/08,79.5,20,SPP,Central,70
12/22/08,151.8,25,West (non-ISO),West,69
12/23/08,18.9,20,SPP,Central,45
1/28/09,50.4,15,MISO,Central,63
1/30/09,98.9,20,SPP,Central,71
2/2/09,99,20,SPP,Central,61
2/5/09,150.00,20,PJM,East,107
2/5/09,51,20,PJM,East,110
2/5/09,49.5,20,PJM,East,110
2/19/09,49.50,20,PJM,East,107
3/17/09,8,20,MISO,Central,133
3/17/09,24.75,20,MISO,Central,137
3/24/09,63,20,West (non-ISO),West,102
3/31/09,30,20,West (non-ISO),West,70
3/31/09,12,20,West (non-ISO),West,70
4/1/09,49.5,25,MISO,Central,59
4/1/09,96.6,20,West (non-ISO),West,94
4/10/09,124.5,20,West (non-ISO),West,121
4/29/09,70,20,PJM,East,80
4/30/09,22.5,20,West (non-ISO),West,74
6/10/09,102.3,12,MISO,Central,90
6/22/09,205.5,21,MISO,Central,83
6/30/09,70,23.5,PJM,East,85
6/30/09,51,20,West (non-ISO),West,77
7/9/09,21,20,West (non-ISO),West,99
7/9/09,21,20,West (non-ISO),West,99
7/9/09,22.5,20,West (non-ISO),West,99
7/30/09,69,25,MISO,Central,63
8/1/09,100,25,MISO,Central,75
8/5/09,18.9,20,West (non-ISO),West,85
8/5/09,16.8,20,West (non-ISO),West,85
8/17/09,90,15,West (non-ISO),West,121
8/26/09,200.2,20,West (non-ISO),West,78
9/8/09,36,20,MISO,Central,65
9/25/09,151.8,20,SPP,Central,55
9/25/09,129.6,25,SPP,Central,56
10/1/09,150,20,ERCOT,Central,78
10/5/09,99,30,SPP,Central,57
10/9/09,5,5,MISO,Central,92
11/2/09,60,20,SPP,Central,81
11/16/09,50,5,MISO,Central,77
11/24/09,209.4,20,MISO,Central,90
11/24/09,150,20,MISO,Central,77
11/30/09,150,25,CAISO,West,132
11/30/09,150,25,CAISO,West,132
11/30/09,150,25,CAISO,West,132
11/30/09,102,25,CAISO,West,132
11/30/09,168,25,CAISO,West,132
12/2/09,50,25,West (non-ISO),West,115
12/9/09,10.25,20,MISO,Central,143
12/17/09,120,20,CAISO,West,146
12/28/09,70,20,PJM,East,85
1/28/10,151.8,21.5,West (non-ISO),West,120
2/5/10,81,20,SPP,Central,62
2/12/10,198,20,MISO,Central,84
3/5/10,65.1,20,West (non-ISO),West,127
3/29/10,250.2,20,West (non-ISO),West,67
4/1/10,40.5,20,SPP,Central,69
4/16/10,102.4,30,MISO,Central,49
4/19/10,50.4,20,West (non-ISO),West,100
4/23/10,51,30,MISO,Central,58
4/29/10,143.5,20,CAISO,West,131
5/4/10,32.5,17,PJM,East,91
5/4/10,20,17,PJM,East,94
5/19/10,250.8,25,West (non-ISO),West,68
6/1/10,36,20,MISO,Central,60
6/2/10,102,20,CAISO,West,133
6/3/10,100,30,SPP,Central,57
6/3/10,36.8,25,CAISO,West,113
6/3/10,90,24,MISO,Central,105
6/4/10,30,20,MISO,Central,76
6/9/10,150,25,CAISO,West,134
6/9/10,168,25,CAISO,West,137
6/9/10,150,25,CAISO,West,134
6/9/10,132,25,CAISO,West,137
6/21/10,81.6,20,MISO,Central,103
6/30/10,114,20,MISO,Central,64
7/7/10,78.2,20,SPP,Central,43
7/9/10,42.5,20,MISO,Central,64
7/15/10,99.2,20,MISO,Central,52
7/21/10,99.2,25,West (non-ISO),West,92
7/22/10,102.5,20,CAISO,West,130
8/10/10,110.4,20,MISO,Central,104
8/16/10,199.8,20,SPP,Central,64
8/20/10,49,10,CAISO,West,145
9/1/10,79.2,25,West (non-ISO),West,80
9/8/10,55.2,20,PJM,East,94
9/17/10,148.8,25,SPP,Central,40
9/22/10,80,20,SPP,Central,50
10/11/10,49.8,20,ISO-NE,East,127
10/18/10,31.68,20,ISO-NE,East,126
11/5/10,161,15,SPP,Central,45
11/12/10,99,20,PJM,East,75
12/6/10,201,20,SPP,Central,39
12/9/10,167.9,20,SPP,Central,33
12/17/10,78.2,25,CAISO,West,119
12/17/10,50,20,MISO,Central,64
12/17/10,78.2,25,CAISO,West,111
12/17/10,38.46,15,ISO-NE,East,60
12/22/10,27.3,20,SPP,Central,51
12/23/10,28.5,10,ISO-NE,East,77
12/23/10,48,10,ISO-NE,East,64
12/23/10,34.2,15,ISO-NE,East,84
2/1/11,257.6,20,CAISO,West,117
3/10/11,100,20,PJM,East,74
4/6/11,155.1,20,CAISO,West,113
4/20/11,100.8,20,SPP,Central,38
5/5/11,165.6,20,SPP,Central,72
5/6/11,131.1,20,SPP,Central,36
5/13/11,214.4,20,MISO,Central,79
5/16/11,150.36,20,Southeast (non-ISO),East,34
5/16/11,108,20,SPP,Central,24
5/20/11,115,20,PJM,East,60
6/7/11,202,20,SPP,Central,42
6/21/11,40,18,MISO,Central,54
6/27/11,200,25,West (non-ISO),West,38
6/28/11,104.4,30,West (non-ISO),West,70
6/29/11,20,20,MISO,Central,89
7/6/11,199.92,20,MISO,Central,46
7/15/11,162,25,CAISO,West,94
7/28/11,102.5,25,CAISO,West,96
8/3/11,120,20,MISO,Central,67
8/8/11,42,20,SPP,Central,53
8/15/11,200,25,West (non-ISO),West,38
8/17/11,50,25,MISO,Central,48
8/17/11,37.5,25,MISO,Central,48
8/30/11,100.8,20,SPP,Central,30
9/7/11,104,20,SPP,Central,32
9/12/11,92.34,25,ERCOT,Central,41
9/12/11,201.6,25,ERCOT,Central,46
9/13/11,100.65,19,MISO,Central,80
10/1/11,48.0,20,MISO,Central,42
11/3/11,98.9,20,SPP,Central,32
11/3/11,100.8,20,SPP,Central,33
11/8/11,59.8,20,SPP,Central,34
11/16/11,39.9,20,West (non-ISO),West,61
11/16/11,49.5,13,CAISO,West,91
11/28/11,20.65,21,MISO,Central,88
12/9/11,75,25,SPP,Central,43
12/13/11,79.6,20,SPP,Central,35
12/13/11,201.25,20,SPP,Central,34
12/15/11,49.2,25,SPP,Central,35
12/20/11,110.4,20,PJM,East,73
12/20/11,30.4,20,PJM,East,75
12/20/11,78.4,20,SPP,Central,36
12/22/11,14.4,25,West (non-ISO),West,53
1/19/12,310.4,25,SPP,Central,39
2/7/12,21,20,MISO,Central,51
2/15/12,30.4,20,SPP,Central,33
2/17/12,50,20,CAISO,West,106
2/28/12,91,20,West (non-ISO),West,35
3/13/12,51.2,20,SPP,Central,35
3/17/12,202,10,SPP,Central,44
3/29/12,48,20,SPP,Central,37
4/11/12,54,10,PJM,East,53
5/27/12,69,25,PJM,East,67
8/31/12,100.3,20,MISO,Central,54
11/1/12,50,20,PJM,East,61
12/4/12,9.1,20,ISO-NE,East,95
12/14/12,15,10,PJM,East,64
1/16/13,74.8,25,SPP,Central,33
2/7/13,200.6,25,SPP,Central,33
4/16/13,74.8,20,MISO,Central,55
5/6/13,62.4,25,MISO,Central,34
5/24/13,39,10,CAISO,West,100
6/1/13,200,25,ERCOT,Central,26
6/1/13,200,25,ERCOT,Central,25
6/5/13,200,20,PJM,East,53
6/15/13,199,20,SPP,Central,24
6/15/13,250,20,SPP,Central,27
6/21/13,102.4,20,West (non-ISO),West,35
6/28/13,80,20,West (non-ISO),West,63
7/2/13,50.4,20,MISO,Central,58
7/2/13,200,20,MISO,Central,28
7/7/13,80,20,West (non-ISO),West,63
7/8/13,100,20,SPP,Central,24
7/10/13,249.9,20,SPP,Central,26
7/17/13,150,20,SPP,Central,27
7/24/13,205.7,25,West (non-ISO),West,30
8/12/13,20,20,MISO,Central,57
8/20/13,147.6,15,ISO-NE,East,64
8/20/13,184.8,15,ISO-NE,East,63
9/11/13,60,25,West (non-ISO),West,35
10/9/13,200,20,SPP,Central,23
10/9/13,198.9,20,SPP,Central,24
10/10/13,199.8,20,SPP,Central,22
10/10/13,200,20,SPP,Central,24
10/17/13,400,20,SPP,Central,25
10/25/13,19.8,20,CAISO,West,63
11/1/13,249.2,25,West (non-ISO),West,35
11/6/13,172,20,SPP,Central,27
11/18/13,34.2,34.2,ISO-NE,East,101
11/18/13,201.6,20,SPP,Central,27
12/11/13,51,25,ISO-NE,East,56
12/20/13,98,30,SPP,Central,23
12/27/13,149.6,25,West (non-ISO),West,33
1/21/14,100.3,20,SPP,Central,23
1/23/14,78.2,25,ERCOT,Central,37
1/24/14,99,20,SPP,Central,25
2/27/14,299.7,18,ERCOT,Central,30
6/11/14,150,20,SPP,Central,26
7/1/14,175,20,PJM,East,43
8/1/14,100,20,SPP,Central,26
8/1/14,116,10,ERCOT,Central,40
8/14/14,30,20,West (non-ISO),West,72
9/11/14,42.95,20,CAISO,West,75
9/24/14,140,10,PJM,East,46
10/30/14,100,20,SPP,Central,29
12/1/14,200,20,SPP,Central,23
12/1/14,150,20,SPP,Central,27
12/10/14,150,30,SPP,Central,26
12/17/14,100,25,SPP,Central,25
12/17/14,73.5,25,SPP,Central,24
12/31/14,50,20,SPP,Central,25
3/24/15,78,20,MISO,Central,36
4/7/15,300,20,SPP,Central,30
4/24/15,208.27,20,SPP,Central,23
5/1/15,20,20,SPP,Central,26
5/1/15,149,20,MISO,Central,47
5/4/15,20,20,SPP,Central,35
5/22/15,200.91,20,SPP,Central,32
5/29/15,50.4,20,PJM,East,59
6/9/15,36,25,SPP,Central,32
7/8/15,208,13,PJM,East,48
7/24/15,80,15,NYISO,East,91
8/7/15,324,20,West (non-ISO),West,50
9/15/15,25,20,SPP,Central,35
9/15/15,100.05,15,MISO,Central,44
9/17/15,98,20,MISO,Central,36
10/1/15,200,25,West (non-ISO),West,53
10/9/15,30,23,ISO-NE,East,86
10/16/15,198,20,SPP,Central,33
10/27/15,149.03,30,SPP,Central,23
11/9/15,64.8,25,SPP,Central,23
11/19/15,100.8,23,PJM,East,48
11/19/15,131.1,15,CAISO,West,50
11/20/15,199.8,22,SPP,Central,21
12/4/15,99.1,20,SPP,Central,23
12/16/15,149.5,20,PJM,East,35
12/18/15,106,25,West (non-ISO),West,23
12/18/15,29.9,15,SPP,Central,31
12/23/15,206.55,20,SPP,Central,21
1/8/16,200,15,SPP,Central,27
1/19/16,200,20,SPP,Central,21
2/1/16,75,22,PJM,East,38
2/1/16,25,20,PJM,East,39
2/2/16,7,20,SPP,Central,35
3/3/16,99.25,35,MISO,Central,23
3/4/16,149.73,30,SPP,Central,26
5/12/16,7.2,20,ISO-NE,East,47
5/31/16,119.7,21,PJM,East,42
5/31/16,140,20,SPP,Central,21
7/18/16,46,20,CAISO,West,58
7/26/16,199.2,16,MISO,Central,28
8/11/16,75.4,20,MISO,Central,38
10/28/16,216.44,26,MISO,Central,19
10/28/16,199.52,30,SPP,Central,19
11/1/16,49.5,25,CAISO,West,46
11/11/16,298.2,20,West (non-ISO),West,50
12/1/16,79.75,25,West (non-ISO),West,35
12/5/16,40.59,25,SPP,Central,20
12/5/16,43.2,12,CAISO,West,45
12/6/16,27,20,MISO,Central,23
12/15/16,200,20,SPP,Central,22
1/1/17,66,19,PJM,East,45
1/19/17,100,30,West (non-ISO),West,37
1/27/17,100.05,25,SPP,Central,18
2/9/17,128.7,12,CAISO,West,43
2/17/17,200.8,20,West (non-ISO),West,40
3/7/17,231.05,30,SPP,Central,20
3/7/17,216.2,25,MISO,Central,15
3/13/17,106.7,20,MISO,Central,18
3/14/17,15,25,SPP,Central,15
5/5/17,2.38,25,SPP,Central,15
5/17/17,100,20,MISO,Central,21
6/6/17,15.59,15,SPP,Central,16
6/9/17,160,20,SPP,Central,12
6/20/17,75,25,West (non-ISO),West,26
7/7/17,132,22,MISO,Central,26
7/19/17,16.1,25,SPP,Central,15
7/21/17,100,20,MISO,Central,31
8/1/17,200,15,ERCOT,Central,25
8/11/17,48.8,20,MISO,Central,43
8/11/17,102.5,20,MISO,Central,38
9/1/17,242,25,Southeast (non-ISO),East,20
9/1/17,100,20,NYISO,East,61
9/26/17,30,20,West (non-ISO),West,26
10/1/17,98,12,MISO,Central,25
10/2/17,29.875,15,SPP,Central,21
10/12/17,243.8,30,SPP,Central,13
10/16/17,103.5,20,MISO,Central,24
11/15/17,211.66,12,MISO,Central,22
11/17/17,100,35,SPP,Central,11
11/17/17,83,20,SPP,Central,13
11/17/17,200,20,SPP,Central,14
12/20/17,165,20,West (non-ISO),West,26
12/21/17,50,25,West (non-ISO),West,26
1/10/18,97,20,SPP,Central,13
1/22/18,226.56,21.5,West (non-ISO),West,16
1/22/18,216.6,29,SPP,Central,24
3/13/18,79.9,15,West (non-ISO),West,23
4/20/18,301.02,20,SPP,Central,13
7/22/18,45.36,15,PJM,East,30
7/22/18,80.64,15,PJM,East,30
8/20/18,250.4,20,MISO,Central,18
8/31/18,97.2,15,CAISO,West,42
9/1/18,101.2,20,NYISO,East,62
10/5/18,21.6,15,CAISO,West,46
10/18/18,106,25,MISO,Central,18
10/19/18,199.4,20,West (non-ISO),West,14
10/19/18,105.8,20,NYISO,East,65
10/19/18,95.25,15,CAISO,West,39
10/22/18,299.36,25,West (non-ISO),West,10
10/29/18,153.6,12,SPP,Central,15
11/19/18,161,15,SPP,Central,13
11/21/18,250,21,SPP,Central,11
12/5/18,171,25,West (non-ISO),West,16
12/31/18,21.6,20,ISO-NE,East,42
1/1/19,46.5,15,CAISO,West,34
1/3/19,398.6,20,MISO,Central,29
1/8/19,236.5,20,Southeast (non-ISO),East,20
1/11/19,136.8,32,West (non-ISO),West,45
1/22/19,102,15,MISO,Central,25
2/5/19,104,20,West (non-ISO),West,11
2/6/19,134.08,20,West (non-ISO),West,16
2/11/19,199.54,30,West (non-ISO),West,30
3/7/19,144,20,West (non-ISO),West,28
5/16/19,160,15,SPP,Central,13
5/21/19,96.7,12,West (non-ISO),West,24
5/31/19,141.2,20,West (non-ISO),West,16
6/5/19,104,15,PJM,East,30
7/8/19,200,25,MISO,Central,16
8/1/19,121.8,20,NYISO,East,61
8/21/19,72.6,20,ISO-NE,East,39
9/1/19,121.8,20,NYISO,East,59
9/18/19,110,30,MISO,Central,21
9/22/19,76.8,20,PJM,East,47
10/2/19,128,11,SPP,Central,13
10/3/19,350,20,West (non-ISO),West,38
10/17/19,90,20,SPP,Central,12
10/17/19,110,20,SPP,Central,15
10/21/19,302.4,20,MISO,Central,27
11/25/19,100,15,MISO,Central,21
12/13/19,76.5,15,PJM,East,30
12/18/19,200,20,West (non-ISO),West,13
12/20/19,14.4,12,CAISO,West,45
4/15/20,56.2,12,PJM,East,34
4/16/20,50.1,15,CAISO,West,43
5/27/20,172.5484263,11,SPP,Central,16
5/27/20,26.32157369,11,SPP,Central,13
5/28/20,201.3,20,West (non-ISO),West,44
6/4/20,331,20,West (non-ISO),West,37
7/21/20,199.4,25,MISO,Central,21
8/1/20,77.7,20,NYISO,East,59
8/7/20,53.6,20,MISO,Central,21
8/25/20,100,10,West (non-ISO),West,43
8/31/20,225,15,West (non-ISO),West,37
9/11/20,234.56,20,West (non-ISO),West,28
9/16/20,29.5,20,CAISO,West,34
9/17/20,250.7,15,SPP,Central,15
9/17/20,300.6,15,SPP,Central,16
10/15/20,105.5,15,PJM,East,29
11/30/20,33.8,20,CAISO,West,40
12/1/20,54.4,20,MISO,Central,50
1/22/21,80,15,MISO,Central,23
2/3/21,350,25,West (non-ISO),West,21
2/19/21,201.6,15,MISO,Central,34
3/15/21,75,15,PJM,East,18
4/21/21,29.9,15,West (non-ISO),West,40
4/21/21,50,15,West (non-ISO),West,43
5/21/21,145,20,West (non-ISO),West,17
6/30/21,180,15,MISO,Central,25
9/1/21,197.4,10,SPP,Central,17
10/15/21,239,20,West (non-ISO),West,29
12/16/21,102.2,20,West (non-ISO),West,28
1/2/22,162.96,30,West (non-ISO),West,33
3/1/22,70,15,MISO,Central,27
4/20/22,100,30,West (non-ISO),West,31
4/20/22,350,30,West (non-ISO),West,27
6/21/22,200,20,West (non-ISO),West,18
6/23/22,105.66,20,West (non-ISO),West,36
6/28/22,200,15,SPP,Central,25
8/16/22,329.8,30,West (non-ISO),West,23
10/10/22,151.998,25,West (non-ISO),West,37
10/11/22,643.44,15,SPP,Central,37
10/11/22,309.42,15,SPP,Central,34
10/21/22,200.22,26,SPP,Central,20
10/23/22,102.84,30,West (non-ISO),West,30
12/19/22,216,20,West (non-ISO),West,31
1/20/23,99.3,31.33,West (non-ISO),West,29
1/20/23,38.7,26,MISO,Central,33
5/22/23,30,25,CAISO,West,45
7/18/23,28,25,CAISO,West,37
10/24/23,103.5,20,NYISO,East,74
10/24/23,108,20,NYISO,East,60
10/24/23,87.63,20,NYISO,East,60
10/24/23,80.43,20,NYISO,East,74
10/24/23,69.5,20,NYISO,East,60
10/24/23,99.79,20,NYISO,East,60
11/16/23,80,25,West (non-ISO),West,25
12/3/24,340,20,NYISO,East,76
12/3/24,117,20,NYISO,East,78
12/3/24,126,20,NYISO,East,91
12/3/24,252,20,NYISO,East,79
