period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2024,ND,North Dakota,RES,residential,398751,11.49,566.50781,4928.88493,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,ND,North Dakota,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,ND,North Dakota,IND,industrial,10864,7.39,986.37717,13351.73577,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,ND,North Dakota,COM,commercial,77301,7.21,817.80687,11346.96273,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,ND,North Dakota,ALL,all sectors,486916,8,2370.69185,29627.58343,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NC,North Carolina,TRA,transportation,1,10.28,1.2735,12.38777,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NC,North Carolina,RES,residential,5111013,14.12,8700.67762,61618.09347,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NC,North Carolina,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NC,North Carolina,IND,industrial,8811,7.69,1980.83611,25772.85734,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NC,North Carolina,COM,commercial,752717,10.56,5217.19222,49397.40857,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NC,North Carolina,ALL,all sectors,5872542,11.62,15899.97945,136800.74716,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NY,New York,TRA,transportation,8,14.7,409.18474,2783.36226,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NY,New York,RES,residential,7438177,24.37,12445.3826,51070.97536,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NY,New York,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NY,New York,IND,industrial,16383,9.11,1445.81768,15875.31883,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NY,New York,COM,commercial,1166319,18.83,13302.96015,70650.51461,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NY,New York,ALL,all sectors,8620887,19.66,27603.34517,140380.17106,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NM,New Mexico,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NM,New Mexico,RES,residential,916902,14.37,1064.68819,7411.51947,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NM,New Mexico,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NM,New Mexico,IND,industrial,9370,5.52,737.4574,13353.93115,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NM,New Mexico,COM,commercial,147172,10.65,1020.39371,9579.00298,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NM,New Mexico,ALL,all sectors,1073444,9.3,2822.5393,30344.4536,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NJ,New Jersey,TRA,transportation,7,10.92,48.14232,440.71443,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NJ,New Jersey,RES,residential,3750476,19.38,5774.56114,29795.65766,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NJ,New Jersey,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NJ,New Jersey,IND,industrial,11138,12.02,747.76721,6222.67247,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NJ,New Jersey,COM,commercial,540375,14.78,5408.93884,36591.05593,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NJ,New Jersey,ALL,all sectors,4301996,16.4,11979.40952,73050.10048,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NH,New Hampshire,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NH,New Hampshire,RES,residential,654283,23.33,1131.21866,4848.53299,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NH,New Hampshire,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NH,New Hampshire,IND,industrial,3108,16.2,317.64739,1960.54765,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NH,New Hampshire,COM,commercial,112754,19.45,798.01804,4103.51975,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NH,New Hampshire,ALL,all sectors,770145,20.59,2246.88408,10912.60039,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NV,Nevada,TRA,transportation,1,10.66,.81402,7.63774,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NV,Nevada,RES,residential,1320716,15,2196.79504,14648.34765,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NV,Nevada,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NV,Nevada,IND,industrial,4610,8.49,1109.13351,13061.53467,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NV,Nevada,COM,commercial,179863,10.47,1352.39931,12915.97172,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NV,Nevada,ALL,all sectors,1505190,11.47,4659.14187,40633.49177,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NE,Nebraska,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NE,Nebraska,RES,residential,918007,11.74,1219.26076,10384.57215,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NE,Nebraska,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NE,Nebraska,IND,industrial,64727,7.53,920.11359,12213.74359,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NE,Nebraska,COM,commercial,163645,8.7,1077.32949,12389.70249,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,NE,Nebraska,ALL,all sectors,1146379,9.19,3216.70385,34988.01822,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MT,Montana,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MT,Montana,RES,residential,562914,12.67,727.45527,5742.79414,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MT,Montana,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MT,Montana,IND,industrial,11027,7.64,367.96294,4814.83483,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MT,Montana,COM,commercial,141429,11.8,600.81867,5093.02556,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MT,Montana,ALL,all sectors,715370,10.84,1696.23687,15650.65453,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MO,Missouri,TRA,transportation,2,9.94,2.52788,25.42399,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MO,Missouri,RES,residential,2893876,12.91,4614.91179,35758.05386,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MO,Missouri,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MO,Missouri,IND,industrial,9263,7.9,1030.95965,13049.29139,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MO,Missouri,COM,commercial,404254,10.29,3044.68336,29583.58591,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MO,Missouri,ALL,all sectors,3307395,11.09,8693.08267,78416.35515,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MS,Mississippi,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MS,Mississippi,RES,residential,1352980,13.29,2506.53239,18854.13367,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MI,Michigan,ALL,all sectors,5109813,14.16,13995.58566,98831.4197,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MA,Massachusetts,TRA,transportation,2,9.22,26.8397,291.25527,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MA,Massachusetts,RES,residential,3014288,29.35,5904.75461,20120.01316,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MA,Massachusetts,IND,industrial,9894,18.13,1035.28573,5710.55558,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MA,Massachusetts,COM,commercial,435402,20.96,4854.24515,23163.69027,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MA,Massachusetts,ALL,all sectors,3459586,23.98,11821.12519,49285.51428,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MD,Maryland,TRA,transportation,5,11.55,48.02378,415.97014,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MD,Maryland,RES,residential,2453603,17.88,4897.9539,27400.21263,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MD,Maryland,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MD,Maryland,IND,industrial,9224,10.06,351.57831,3493.67827,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MD,Maryland,COM,commercial,261596,12.99,3569.93427,27492.6193,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MD,Maryland,ALL,all sectors,2724428,15.08,8867.49026,58802.48034,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,ME,Maine,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,ME,Maine,RES,residential,740635,23.89,1165.46526,4877.68884,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,ME,Maine,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,ME,Maine,IND,industrial,1854,12.71,288.24975,2268.10312,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,ME,Maine,COM,commercial,112989,18.35,752.14005,4098.35475,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,ME,Maine,ALL,all sectors,855478,19.62,2205.85506,11244.14671,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,LA,Louisiana,TRA,transportation,1,11.54,1.15704,10.02576,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,LA,Louisiana,RES,residential,2160432,11.64,3662.47812,31452.14763,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,LA,Louisiana,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,LA,Louisiana,IND,industrial,17860,5.57,2397.42293,43035.80783,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,LA,Louisiana,COM,commercial,302815,10.37,2473.91118,23846.19782,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,LA,Louisiana,ALL,all sectors,2481108,8.68,8534.96926,98344.17903,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,KY,Kentucky,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,KY,Kentucky,RES,residential,2017739,12.98,3386.53807,26093.01925,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,KY,Kentucky,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,KY,Kentucky,IND,industrial,4728,6.53,1823.32628,27918.80718,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,KY,Kentucky,COM,commercial,327435,11.63,2335.85717,20088.35963,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,KY,Kentucky,ALL,all sectors,2349902,10.18,7545.72152,74100.18605,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,KS,Kansas,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,KS,Kansas,RES,residential,1337775,14.22,1993.81705,14025.40017,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,KS,Kansas,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,KS,Kansas,IND,industrial,23763,7.67,889.58542,11592.78647,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,KS,Kansas,COM,commercial,250393,11.23,1789.61682,15936.4207,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WY,Wyoming,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WY,Wyoming,RES,residential,288472,12.5,373.16528,2986.40625,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WY,Wyoming,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WY,Wyoming,IND,industrial,11959,7.96,715.30121,8982.26958,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WY,Wyoming,COM,commercial,59566,9.29,490.94301,5286.46468,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WY,Wyoming,ALL,all sectors,359997,9.15,1579.4095,17255.1405,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WI,Wisconsin,TRA,transportation,2,18.35,.23988,1.30742,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WI,Wisconsin,RES,residential,2865093,17.22,3812.22831,22135.24418,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WI,Wisconsin,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WI,Wisconsin,IND,industrial,5702,8.52,1980.65994,23255.26921,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WI,Wisconsin,COM,commercial,371093,12.65,2967.83857,23459.34621,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WI,Wisconsin,ALL,all sectors,3241890,12.72,8760.96669,68851.16702,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WV,West Virginia,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WV,West Virginia,RES,residential,867455,15.1,1612.64328,10679.04153,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WV,West Virginia,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WV,West Virginia,IND,industrial,10909,7.81,1144.14972,14651.02682,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WV,West Virginia,COM,commercial,152356,11.64,892.69087,7669.42094,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WV,West Virginia,ALL,all sectors,1030720,11.06,3649.48387,32999.48929,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WA,Washington,TRA,transportation,5,10.82,9.4843,87.65756,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WA,Washington,RES,residential,3387200,11.9,4618.30169,38806.39457,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WA,Washington,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WA,Washington,IND,industrial,26914,6.37,1324.12226,20787.54659,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WA,Washington,COM,commercial,404436,10.53,3224.13502,30626.63006,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,WA,Washington,ALL,all sectors,3818555,10.16,9176.04327,90308.22878,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,VA,Virginia,TRA,transportation,1,9.25,26.44326,285.75538,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,VA,Virginia,RES,residential,3680343,14.54,6580.20566,45243.21556,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,VA,Virginia,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,VA,Virginia,IND,industrial,3977,8.78,1276.35849,14531.71858,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,VA,Virginia,COM,commercial,448006,8.93,6745.24462,75548.53703,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,VA,Virginia,ALL,all sectors,4132327,10.79,14628.25203,135609.22655,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,VT,Vermont,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,VT,Vermont,RES,residential,321228,22.14,491.17177,2218.65934,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,VT,Vermont,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,VT,Vermont,IND,industrial,232,11.69,149.11535,1275.86639,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,VT,Vermont,COM,commercial,62701,18.88,366.92924,1943.21123,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,VT,Vermont,ALL,all sectors,384161,18.52,1007.21637,5437.73696,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,UT,Utah,TRA,transportation,1,12.07,6.4048,53.06344,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,UT,Utah,RES,residential,1248928,11.33,1326.0748,11708.07556,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,UT,Utah,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,UT,Utah,IND,industrial,10678,6.84,591.76416,8654.47816,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,UT,Utah,COM,commercial,143857,8.46,1191.75447,14090.30779,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,UT,Utah,ALL,all sectors,1403464,9.03,3115.99823,34505.92494,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,TX,Texas,TRA,transportation,3,4.35,.50169,11.53089,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,TX,Texas,RES,residential,12669660,14.94,25174.15182,168486.13714,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,TX,Texas,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,TX,Texas,IND,industrial,385851,6.26,10335.70619,165143.37377,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,TX,Texas,COM,commercial,1555105,8.81,14213.19572,161294.738,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,TX,Texas,ALL,all sectors,14610619,10.05,49723.55543,494935.77981,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,TN,Tennessee,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,TN,Tennessee,RES,residential,3086249,12.54,5492.86233,43805.19455,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,TN,Tennessee,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,TN,Tennessee,IND,industrial,969,6.21,1439.29081,23182.81803,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,TN,Tennessee,COM,commercial,540785,12.13,4363.32396,35970.37147,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,TN,Tennessee,ALL,all sectors,3628003,10.97,11295.4771,102958.38405,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,SD,South Dakota,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,SD,South Dakota,RES,residential,440490,13.03,668.90784,5132.32347,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,SD,South Dakota,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,SD,South Dakota,IND,industrial,4351,8.4,275.84322,3283.18613,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,SD,South Dakota,COM,commercial,78711,10.62,538.53036,5073.15956,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,SD,South Dakota,ALL,all sectors,523552,11,1483.28141,13488.66916,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,SC,South Carolina,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,SC,South Carolina,RES,residential,2597157,14.13,4588.73778,32476.20288,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,SC,South Carolina,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,SC,South Carolina,IND,industrial,3546,6.82,1724.32604,25277.95728,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MS,Mississippi,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MS,Mississippi,IND,industrial,10969,6.73,1066.49911,15849.5365,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MS,Mississippi,COM,commercial,247951,12.08,1758.23594,14553.51614,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MS,Mississippi,ALL,all sectors,1611900,10.82,5331.26743,49257.1863,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MN,Minnesota,TRA,transportation,1,12.71,1.9485,15.33233,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MN,Minnesota,RES,residential,2606781,15.42,3465.5369,22471.40724,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MN,Minnesota,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MN,Minnesota,IND,industrial,9461,9.14,1865.88058,20419.54444,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MN,Minnesota,COM,commercial,310151,12.22,2744.14513,22447.44183,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MN,Minnesota,ALL,all sectors,2926394,12.36,8077.51111,65353.72584,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MI,Michigan,TRA,transportation,2,14.09,.77189,5.47775,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MI,Michigan,RES,residential,4537622,19.29,6460.72345,33490.39173,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MI,Michigan,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MI,Michigan,IND,industrial,5539,8.27,2318.71666,28044.95729,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,MI,Michigan,COM,commercial,566650,13.99,5215.37367,37290.59293,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,SC,South Carolina,COM,commercial,418132,10.58,2760.80022,26088.03391,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,SC,South Carolina,ALL,all sectors,3018835,10.82,9073.86404,83842.19406,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,RI,Rhode Island,TRA,transportation,1,21.71,5.66543,26.09804,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,RI,Rhode Island,RES,residential,459607,28.07,878.63175,3130.43738,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,RI,Rhode Island,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,RI,Rhode Island,IND,industrial,1718,19.7,121.04096,614.5747,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,RI,Rhode Island,COM,commercial,64407,20.95,765.6467,3654.37848,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,RI,Rhode Island,ALL,all sectors,525733,23.85,1770.98484,7425.4886,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,AR,Arkansas,RES,residential,1485432,12.24,2287.66467,18689.16334,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,AR,Arkansas,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2024,AR,Arkansas,IND,industrial,35491,6.55,1279.37347,19545.66852,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
